"domain","company_commercial_name","company_legal_name","company_all_available_names","phone_numbers","social_media_links","address"
"kansaslimousin.org","Kansas Limousin Breeders Association","Kansas Limousin Breeders Association","Kansas Limousin Breeders Association | Kansas Limousin | Kansas Limousin Breeders","[]","[""https://www.facebook.com/groups/1235892853935518/"",""https://www.facebook.com/groups/294431518392859/user/1483456138/?__cft__%5b0%5d=AZUHMermbSGOCqsTa2CUw-C3RjZHRYoqHY5zxofYh9cPVLmj8oovH-ozQ8Az2pl-qEBLQkYfTipIbB4ljFZlj5IbZq8M64Cs76vBohtKhUkPh_r2JcYW9Vp8nByochGu4Ogyg3-7aPEnZtlSnHHAXPo3RLUrj7WQ5oSijTWRv8Ob8_9t3oXuz5YSp4Y_z5bs4iI&__tn__=-%5dK-R""]",""
"kkcger.com","Kkcger","","Kkcger","[]","[]",""
"maddux.pro","MADDUX","","MADDUX | MADDUX Pro-Wash","[]","[]",""
"ohanaconsulting.net","Ohana Management Consulting","","Ohana Management Consulting | OhanaConsulting","[""(949) 230-7919""]","[]",""
"postmodern-strings.com","Postmodern Strings by Viol Consort","","Postmodern Strings by Viol Consort | PostModern Strings","[]","[]",""
"takapartners.com","Taka Partners","","Taka Partners","[]","[]",""
"techbarstore.com","Ambar Shop","","Ambar Shop","[]","[]",""
"top-salon-hair-salon.business.site","Top salon Hair Salon","","Top salon Hair Salon | Top salon","[]","[""/url?q=https://www.facebook.com/salonbeautytop/&sa=U&ved=2ahUKEwiD_5KxtIOFAxU9a2wGHSumCQgQFnoECAYQAg&usg=AOvVaw3VxK0AJbcdQZrqgv9wK2rG"",""/url?q=https://www.facebook.com/topsaloane1/%3Flocale%3Dro_RO&sa=U&ved=2ahUKEwiD_5KxtIOFAxU9a2wGHSumCQgQFnoECAEQAg&usg=AOvVaw39YKRBZ8J_xS5n-4xLavnh""]",""
"dolee-rentals.com","DoLee Rentals Inc.","DoLee Rentals Inc.","DoLee Rentals Inc. | DOLEE RENTALS | DoLee Rentals Inc. DoLee Rentals","[]","[]",""
"kns-construction.com","KNS Construction","","KNS Construction","[""203-231-83""]","[]",""
"timothyburger.com","Timothy Burger","","Timothy Burger","[]","[]",""
"trueaudio.com","True Audio","","True Audio","[""65-494-3388"",""1990-2024""]","[]",""
"venturemediaagency.com","Venture Media Agency","","Venture Media Agency","[""732-535-4027"",""32-535-4027""]","[""https://www.facebook.com/venturemediadigital/"",""https://www.instagram.com/venturemediadigital/""]",""
"garrettwietholter.com","Garrett Wietholter","Garrett Wietholter Ins Agy Inc.","Garrett Wietholter | Garrett Wietholter - State Farm Insurance Agent | Garrett Wietholter Ins Agy Inc.","[""(317) 873-3230"",""61709-0001"",""309-622-50"",""9588590""]","[""https://www.facebook.com/153341281385570"",""https://www.linkedin.com/in/garrett-wietholter-b5037a88"",""http//www.facebook.com/pages/Garrett-Wietholter-State-Farm-Agent/153341281385570"",""https//www.linkedin.com/pub/garrett-wietholter/88/37a/b50""]","
                                        Pet insurance products are underwritten in the United States by American Pet Insurance Company and ZPIC Insurance Company, 6100-4th Ave. S, Seattle, WA 98108. Administered by Trupanion Managers USA, Inc. (CA license No. 0G22803, NPN 9588590). Terms and conditions apply, see full policy on Trupanion's website for details. State Farm Mutual Automobile Insurance Company, its subsidiaries and affiliates, neither offer nor are financially responsible for pet insurance products. State Farm is a separate entity and is not affiliated with Trupanion or American Pet Insurance.
                                    "
"nashvilleucc.org","Nashville United Church of Christ","","Nashville United Church of Christ | NASHVILLE UCC | Nashville U.C.C. Recreational Park","[]","[]",""
"outforlifeministries.com","Out For Life Ministries","","Out For Life Ministries","[]","[""https://www.facebook.com/Out-for-Life-Ministries-Inc-1444213995686520/?__tn__=%2Cd%2CP-R&eid=ARAd-OacvVe6PBbPlF59zrm7WStTgo0xiJvNqvBmcXd1XeFTDHfnsJWmG1bpCdpGzjwm8caZF6eO2Bvh"",""https://www.facebook.com/pg/Out-for-Life-Ministries-Inc-1444213995686520/videos/?ref=page_internal""]",""
"phack.org","Pacific Hackers Infosec","","Pacific Hackers Infosec | Pacific Hackers Infosec Conference | Pacific Hackers Meetup & Conference","[]","[""https://www.facebook.com/phackca"",""https://twitter.com/HackersPacific"",""https://www.instagram.com/pacifichackersca"",""https://www.linkedin.com/company/pacific-hackers-meetup""]","855 Maude Ave, Mountain View, CA 94043, USA"
"potomaccanine.com","Potomac Canine","","Potomac Canine | Potomac Canine Services","[]","[]",""
"azureskies.com","Azure Skies Landscaping","","Azure Skies Landscaping","[]","[]",""
"couplescounselingatlanta.com","Atlanta Couples Counseling","","Atlanta Couples Counseling","[]","[]",""
"philstreeppc.com","Phil's Expert","","Phil's Expert","[""(954) 931-3700""]","[]",""
"romanthumbs.com","Romanthumbs","","Romanthumbs","[]","[]",""
"topcropalliance.com","Top Crop Alliance","","Top Crop Alliance","[""812-614-04"",""812-343-96"",""812-614-0"",""812-614-0436"",""812-343-9"",""812-343-9638""]","[""https://twitter.com/brianbbbush"",""https://www.facebook.com/topcropagronomy""]",""
"smilesbygateway.com","Gateway Dental","","Gateway Dental","[""17-369-8007""]","[""https://twitter.com/GatewayDental4""]",""
"solarecon.wordpress.com","Solarecon","","Solarecon | First Solar Inc. | Solar Inc.","[""600-700""]","[]",""
"johnstons-clothiers.business.site","Johnston's Clothiers","","Johnston's Clothiers","[]","[]",""
"ohhappydayshatchetthrowing.com","Oh Happy Days Hatchet Throwing And More","","Oh Happy Days Hatchet Throwing And More | Oh Happy Days Hatchet Throwing","[]","[]",""
"plumbingbydlt.com","Plumbing by DLT","","Plumbing by DLT","[]","[]",""
"completecaredevelopmentcenter.com","Complete Care Development Center LLC.","Complete Care Development Center LLC.","Complete Care Development Center LLC. | Complete Care Development Center | Complete Care Develo","[""513-761-2232"",""513-910-4998""]","[""https://www.facebook.com/CompleteCareDevelopment/""]",""
"kaleofamilies.org","Kaleo Family Services","","Kaleo Family Services | Kaleo Families","[""678-516-8242""]","[]","PO Box 1865Monroe, GA 30655"
"monahanclinics.com","Monahan Chiropractic Medical Clinics","","Monahan Chiropractic Medical Clinics | Monahan Chiropractic | Monahan Clinics | Monahan Chiropractic Medical","[""904-824-83"",""904-824-8353"",""386-328-2710"",""32080904-8"",""32177386-3""]","[""https://www.facebook.com/MonahanClinics""]",""
"samantharaiderbrown.com","Samantha Brown","","Samantha Brown | Samantharaiderbrown","[""(202) 714-2785""]","[""https://www.linkedin.com/in/samantha-brown-she-her-3b9b0b131/""]",""
"beagibbons.com","Andrew Gibbons","","Andrew Gibbons","[]","[]",""
"getranx.com","Getranx","","Getranx","[]","[]",""
"iam-boeing.com","IAM Boeing Joint Programs Central Site Office","","IAM Boeing Joint Programs Central Site Office","[]","[]",""
"roux30a.com","Roux 30a","Roux 30a Enterprises LLC.","Roux 30a | Roux 30a Enterprises LLC.","[""(850) 213-0899""]","[""https://www.facebook.com/Roux30a"",""https://www.instagram.com/roux30a/""]",""
"1laurellane.com","1 Laurel Lane","","1 Laurel Lane","[]","[]",""
"airprofork.com","AirPro Fork","","AirPro Fork","[""208-283-84""]","[""http://instagram.com/airprofork""]",""
"candybartending.com","Candy Bar Personal Bartending Services","","Candy Bar Personal Bartending Services","[]","[""https://www.facebook.com/Candythebartender"",""https://www.instagram.com/candybar_bartender/""]",""
"kelleyroadrace.com","Kelley Road Race","SNERRO LLC.","Kelley Road Race | SNERRO LLC.","[]","[]",""
"marrs-jonesfuneralhome.com","Marrs-Jones Funeral","","Marrs-Jones Funeral | Marrs-Jones Funeral Home | Marrs-Jones | All Faiths of the Pines","[]","[]",""
"motherssoontobe.com","Mothers Soon To","","Mothers Soon To","[]","[]",""
"palla-siding-and-windows.business.site","Palla Siding & Windows","","Palla Siding & Windows","[]","[]",""
"propertyguysnj.com","Property Guys","","Property Guys | Property Guys NJ","[]","[""https://www.facebook.com/propertyguysnj""]",""
"rcgglobaltv.com","RCG Global TV Network","","RCG Global TV Network | RCG Global TV","[""202-517-4922""]","[""https://www.facebook.com/115280944513495""]",""
"rlosrivera.com","XV CAPITAL LLC.","XV CAPITAL LLC.","XV CAPITAL LLC.","[]","[]",""
"starcomconsulting.com","Starcom Consulting","Starcom Consulting Inc.","Starcom Consulting | Starcom | Starcom Consulting Inc.","[]","[]",""
"torget.org","Torget","","Torget","[""940-369-51""]","[]",""
"cancersupportdelaware.org","Cancer Support Community Delaware","","Cancer Support Community Delaware | Cancer Support Group | Cancer Support Community","[""19807\n302"",""-995-2850"",""19904\n302"",""-734-0898"",""19709\n302"",""19971\n302"",""-645-9150""]","[""https://www.facebook.com/CancerSupportDE/"",""https://twitter.com/CancerSupportDE"",""https://www.instagram.com/cancersupportde/"",""https://www.linkedin.com/company/cancer-support-community-delaware/""]","18947 John J Williams Hwy, Ste 312
Rehoboth Beach, DE 19971
302-645-9150"
"cryptohomiesclub.io","CryptoHomies Club","Homieshop Properties LLC or Non-Fungible Art Inc.","CryptoHomies Club | CRYPTO HOMIES | Homieshop Properties LLC or Non-Fungible Art Inc. | Homieshop Properties LLC.","[""1986-2024""]","[""https://twitter.com/CRYPTOHOMIES_"",""https://www.instagram.com/cryptohomies_/"",""https://www.facebook.com/cryptohomiesnft""]",""
"jessicaashwellness.com","Jessica Ash Wellness","Jessica Ash Wellness LLC.","Jessica Ash Wellness | Jessica Ash Wellness LLC.","[]","[]",""
"pctouchservices.com","PC Touch Services","PC Touch Services Inc.","PC Touch Services | PC Touch Services Inc. | Pc Touch Svc. Inc.","[""(631) 676-2282"",""(561) 800-3010""]","[""http://www.facebook.com/home.php?#!/profile.php?id=100001414006599"",""http://twitter.com/mayisad"",""http://www.linkedin.com""]",""
"sharonkinghoge.com","Sharon King Hoge","","Sharon King Hoge","[]","[]",""
"steppir.com","SteppIR Communication Systems","SteppIR Inc.","SteppIR Communication Systems | SteppIR | SteppIR Inc.","[]","[]",""
"highwayonerealestate.com","Highway One Real Estate","","Highway One Real Estate","[]","[]",""
"minastollery.com","Mina Stollery","","Mina Stollery","[]","[""https://www.instagram.com/electric_skillet/""]",""
"amwindowcleaning.org","A & M Window Cleaning","","A & M Window Cleaning","[]","[]",""
"cincyscrubs.com","Cincy Scrubs","","Cincy Scrubs","[""513-939-60""]","[""https://www.facebook.com/cincyscrubs/"",""https://www.instagram.com/@CincyScrubs""]","4934 Provident Dr West Chester, OH 45246United States  "
"figlass.biz","FIglass","","FIglass","[""845-354-6074"",""631-583-5644""]","[]",""
"horizons.church","Horizons","","Horizons | Horizons Community Church | Horizons Church | Horizons Church Lincoln NE","[]","[]",""
"mygoodhorse.weebly.com","Good Horse","","Good Horse","[]","[""http://www.facebook.com/pages/Good-Horses/162395740581911?ref=hl""]",""
"wombatworks.org","Wombat Works","Wombat Works LLC.","Wombat Works | Wombat Works LLC.","[""(215) 283-9985""]","[""https://www.facebook.com/wombatworksllc"",""https://twitter.com/WombatWorks""]","Spring House, PA 19477"
"yourhairdynasty.com","Your Hair Dynasty","Your Hair Dynasty LLC.","Your Hair Dynasty | Your Hair Dynasty LLC. | Your Hair","[]","[""https://www.instagram.com/yourhairdynasty"",""https://www.facebook.com/yourhairdynasty"",""https://www.twitter.com/yourhairdynasty""]",""
"alpha-research-associates-research-institute.business.site","Alpha Research Associates","Alpha Research Associates Research Institute","Alpha Research Associates | Alpha Research Associates Research Institute","[]","[]",""
"annarborhomesrealtor.com","Maura Rains","","Maura Rains","[""313-717-77"",""734-669-58""]","[""https://www.facebook.com/maurarains1"",""http://www.linkedin.com/pub/maura-rains/5/79b/77a""]","
2452 E. Stadium BlvdAnn Arbor, MI 48105
"
"astepabovemb.com","A Step Above Flooring","Step Above LLC.","A Step Above Flooring | A Step Above Flooring - Home | Step Above LLC.","[]","[""https://www.facebook.com/A-Step-Above-Flooring-810287332403927/"",""https://twitter.com/AStepAboveMB"",""https://instagram.com/astepaboveflooring/""]",""
"buchanan-edwards.online","Buchanan-edwards.online","","Buchanan-edwards.online","[]","[]",""
"busiup.com","BusiUp","","BusiUp","[]","[]",""
"clockinc.org","Clock Inc.","Clock Inc.","Clock Inc. | Free Clock Inc.","[""309-558-0956""]","[""https://www.facebook.com/clock.inc.qc/"",""https://www.instagram.com/clockinclgbt"",""https://twitter.com/clockincLGBT"",""https://www.linkedin.com/in/clockinc/"",""http://facebook.com/clock.inc.qc"",""https://www.instagram.com/clockinclgbt/"",""https://www.facebook.com/designs.chasing""]","Rock Island, IL 61201"
"oceancurrent.com","Ocean Current","","Ocean Current","[]","[""https://instagram.com/oceancurrent"",""https://facebook.com/oceancurrent""]",""
"arnoldprint.com","Arnold Printed Communications","Arnold Printed Co.","Arnold Printed Comm | Arnold Printed | Arnold Business Forms Inc. | Arnold Printed Communications | Arnold Printed Co.","[""(717) 392-5491""]","[]",""
"deepdivecounseling.net","Deep Dive Counseling LLC.","Deep Dive Counseling LLC.","Deep Dive Counseling LLC. | Deep Dive Counseling","[]","[]"," 53 Chester Street, Somerville, MA 02144"
"forcht-law.com","Melan M Forcht Law Offices","","Melan M Forcht Law Offices | Law Office of Melan M. Forcht","[]","[]",""
"graciejoplin.com","Gracie Humaitá Joplin","","Gracie Humaitá Joplin | Gracie Humaita Joplin Gracie Humaita | Gracie Joplin","[""(417) 850-6447"",""(417) 621-5639""]","[""https://www.facebook.com/graciejoplin"",""https://www.facebook.com/profile.php?id=1636452124"",""https://www.facebook.com/jason.rios.16547008"",""https://www.facebook.com/shiloh.burchfield"",""https://www.facebook.com/rob.gaul.3"",""https://www.facebook.com/profile.php?id=100003634880192"",""https://www.facebook.com/zach.lawson.54"",""https://www.facebook.com/Ghettotacos417"",""https://www.facebook.com/profile.php?id=100089055761441""]","Address:
210 N Washington St Neosho, MO 64850
Email: shiloh@graciejoplin.com
Phone: (417) 621-5639 

"
"itpc-usa.com","Italian Travel Promotion Council","","Italian Travel Promotion Council","[]","[""https://www.facebook.com/wix"",""https://instagram.com/wix"",""https://www.twitter.com/wix""]",""
"scienceeducators.org","Science Educators","","Science Educators","[]","[]",""
"directdrivelogistics.com","Direct Drive Logistics - Milwaukee","","Direct Drive Logistics - Milwaukee | Direct Drive Logistics","[]","[]","11122 W Rogers St, Milwaukee, WI 53227"
"gsbphoto.com","Gordon S Bernstein Photo","","Gordon S Bernstein Photo | Bernstein Gordon S","[]","[]",""
"pinehavenresort.com","Pine Haven Resort","","Pine Haven Resort","[""218-682-2547""]","[""https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FPine-Haven-Resort-on-Blackwater-Lake-130381357029056%2Freviews%2F"",""https://www.facebook.com/Pine-Haven-Resort-on-Blackwater-Lake-130381357029056/""]",""
"cavachonsofoklahoma.com","Cavachons of Oklahoma","","Cavachons of Oklahoma","[""405-938-6708""]","[""https://facebook.com/OklahomaCavachons/"",""https://instagram.com/cavachons_of_oklahoma"",""https://www.facebook.com/OklahomaCavachons"",""https://www.instagram.com/cavachons_of_oklahoma/"",""https://www.facebook.com/OklahomaCavachons/""]",""
"fuecid.shop","FUECID","","FUECID | Store Group Holdings Ltd.","[]","[]",""
"janellesrestaurant.com","Janelles Restaurant","","Janelles Restaurant | Janelle’s Caribbean Restaurant","[]","[]",""
"peacefulwolftaichi.com","Peaceful Wolf Tai","","Peaceful Wolf Tai | Peaceful Wolf T'Ai Chi Ch'uan","[]","[]",""
"uomosport.com","Uomo Sport","","Uomo Sport","[""310-205-0407""]","[""https://www.facebook.com/UOMOSPORT2016/"",""http://twitter.com/uomo_sport"",""http://instagram.com/uomo_sport"",""https://www.linkedin.com/company/uomo-sport""]",""
"warnby.com","Warnby","","Warnby","[]","[]",""
"antiochassistedliving.com","The Residences Antioch","","The Residences Antioch","[]","[]",""
"davidprieto.realestate","Sync Brokerage","","Sync Brokerage","[]","[]",""
"gygeneralservices.business.site","G&Y GeneralWashServices Corp.","G&Y GeneralWashServices Corp.","G&Y GeneralWashServices Corp.","[]","[]",""
"kickitupquilting.com","Kick It Up Quilting","","Kick It Up Quilting | Kick It Up Quilting2","[]","[""https://www.instagram.com/kickitupquilting/"",""https://www.facebook.com/KickItUpQuilting/""]",""
"koimountain.com","Koi Mountain","","Koi Mountain | Koi MountainBath-and-body","[]","[]",""
"pinolevistareimagined.com","Village at Novato","","Village at Novato","[]","[]",""
"seamuspuppy.com","KIND HEART","","KIND HEART","[]","[]",""
"aop3d.com","AOP3D tech","AOP3D ULTIMATE PC.","AOP3D tech | AOP3D | AOP3D ULTIMATE PC.","[]","[""https://www.facebook.com/AOPthreeD"",""https://www.instagram.com/aop3d/""]",""
"off-trail.co","Off trail","","Off trail","[]","[""https://www.instagram.com/offtrail.co/""]",""
"proexecstaffing.com","Pro-Exec Staffing LLC.","Pro-Exec Staffing LLC.","Pro-Exec Staffing LLC. | Pro Exec Staffing","[""713-248-2245""]","[""https://www.facebook.com/proexecstaffing"",""https://twitter.com/exec_pro"",""https://linkedin.com/company/pro-exec-staffing""]",""
"stewartgrain.com","Stewart Grain","Stewart Grain Co.","Stewart Grain | Stewart Grain Co. | Stewart Grain Co. Inc.","[]","[]",""
"truyasushica.com","Truya Sushi","","Truya Sushi","[]","[]",""
"yingtexun.com","Izeetak","","Izeetak","[]","[]",""
"camilluscusecamp.com","'Cuse Camp","","'Cuse Camp","[""(315) 552-0182"",""(315) 791-4511""]","[""https://www.facebook.com/CamillusCuseCamp/"",""https://www.instagram.com/camilluscusecamp/"",""https://www.instagram.com/cusecamp/""]","4713 Onondaga Blvd. Syracuse, NY 13219"
"hyhp.org","HYHP","","HYHP | Hawai'i Young Healthcare Professionals","[]","[""https://www.facebook.com/hawaiiyhp"",""https://www.linkedin.com/company/30611146/admin/"",""http://www.instagram.com/hawaiiyhp""]",""
"rrrobotictec.com","R&R ROBOTIC TECHNOLOGY","","R&R ROBOTIC TECHNOLOGY | R&R ROBOTIC TECHNOLOG | R&R Robotics","[]","[]",""
"thebeautyteam.com","THE BEAUTY TEAM LLC.","THE BEAUTY TEAM LLC.","THE BEAUTY TEAM LLC. | The Beauty Team Inc. | THE BEAUTY TEAM","[""908-917-5233""]","[""https://www.facebook.com/"",""https://twitter.com/"",""https://www.instagram.com/"",""https://www.linkedin.com/"",""https://www.facebook.com/The-Beauty-Team-NJ-1524388267839855"",""https://www.instagram.com/thebeautyteamnj/?hl=en"",""https://www.linkedin.com/in/daniela-brozkova-3b084b9/""]",""
"justgooglebenhiggins.com","Ben Higgins","","Ben Higgins","[]","[]",""
"onsa.net","Oregon Neighborhood Store Association","Oregon Neighborhood Store Association","Oregon Neighborhood Store Association | ONSA","[]","[]",""
"stitchncluck.com","Stitch and Cluck","","Stitch and Cluck","[]","[]",""
"ascend-tech.us","Ascendant Software Technology","Ascendant Software Technology LLC.","Ascendant Software Technology | Ascendant Software | Ascendant Software Technology LLC.","[]","[""https://www.linkedin.com/company/ascendant-software-technology-llc/"",""https://twitter.com/AscendSoftTech""]",""
"buryservices.com","Bury Services","","Bury Services","[]","[]","4358 W Vickery Blvd, Fort Worth, TX 76107"
"cleaningsvccolumbiafalls.com","Cleaning Co.","Cleaning Co.","Cleaning Co.","[]","[]",""
"fortlaudedalepsychic.com","Twin flame psychic","","Twin flame psychic","[]","[]",""
"longrealty.com","Long Realty Blog","Long Realty Co.","Long Realty | Long Realty Blog | Buying a Home with Long Realty Company | Long Realty Company | Long Realty Co.","[""800-354-5664"",""(800) 354-5664"",""-5-910-991"",""-5-910-992"",""-5-910-993"",""-5-910-994""]","[""https://www.facebook.com/longrealty/"",""https://www.instagram.com/longrealty/"",""https://www.linkedin.com/company/long-realty-company/"",""https://twitter.com/LongRealty"",""https://www.facebook.com/longrealty"",""https://twitter.com/@longrealty"",""https://www.linkedin.com/company/long-realty-company/about/""]",""
"miltongeorgialiving.com","Milton GA Living","","Milton GA Living","[]","[]",""
"smensclub.org","Senior Men's Club","E-mail Trustee","Senior Men's Club | Smensclub | E-mail Trustee","[]","[""https://www.facebook.com/smensclub""]",""
"woodgateapts.net","Woodgate Apartments at Jordan Landing","","Woodgate Apartments at Jordan Landing | Woodgate | Woodgate Apartments","[]","[]",""
"crawfordproduction.com","Crawford Production","","Crawford Production","[]","[]",""
"fanbladedesigns.com","Fan Blade Designs","","Fan Blade Designs | Fan Sox","[]","[""https://twitter.com/FanBladeDesigns"",""https://twitter.com/fanbladedesigns"",""https://www.facebook.com/pages/Fan-Blade-Designs/1414707588783035"",""https://instagram.com/fanbladedesigns""]",""
"ghostmountain.org","Ghost Mountain","","Ghost Mountain","[]","[""https://www.instagram.com/ghostmountainpdx/""]",""
"lequedagua.com","Lequedagua","Cbd Oilrank Inc.","Lequedagua | Cbd Oilrank Inc.","[""212 317 0"",""2870-350""]","[""https://www.instagram.com/lequedagua/"",""https://www.facebook.com/lequedagua.lda/""]",""
"lisinoprilfst.com","LisinoprilFST","","LisinoprilFST","[]","[]",""
"nbwatergardens.com","Nature's Beauty Water Gardens","","Nature's Beauty Water Gardens | Nbwatergardens","[]","[]",""
"semillacenter.org","Semilla Center","","Semilla Center","[]","[""https://www.facebook.com/SemillaCenter/"",""https://twitter.com/semillacenter"",""https://www.instagram.com/semillacenter/"",""https://twitter.com/semillacenter/""]",""
"jrmatheny.com","JRM designcreative","","JRM designcreative","[]","[""http://instagram.com/jrmatheny"",""https://twitter.com/jason_r_matheny""]",""
"madebyjosy.com","Made By Josy","","Made By Josy","[]","[]",""
"philippineflowers.com","Philippineflowers","","Philippineflowers | Philippineflowers.c","[]","[]",""
"stpunited.org","St Paul's United Methodist","","St Paul's United Methodist","[""(816) 331-6444""]","[""https://www.instagram.com/explore/locations/999088086/st-pauls-united-methodist-church/"",""https://www.facebook.com/stpunited/"",""https://twitter.com/moreinraymore""]",""
"thethriftyhijabi.com","The Thrifty Hijabi","","The Thrifty Hijabi","[""2017-2018""]","[]",""
"timemusicgroupnyc.com","Time Music Group","TIME MUSIC GROUP LLC.","Time Music Group | TIME MUSIC GROUP LLC.","[""221-15 111"",""-646-372-03""]","[]",""
"2701jamesmwood.com","2701 James M wood","","2701 James M wood","[""213-247-4"",""213-247-4210"",""2021 2701""]","[]","2701 James M Wood BLVD Los Angeles, CA 90006"
"behindthewhitebeard.com","Behind the White Beard","Behind The White Beard LLC.","Behind the White Beard | Behind The White Beard LLC.","[]","[]",""
"calcoastjewelryappraisers.com","Cal Coast Jewelry Appraisers","Cal Coast Jewelry Appraisers Inc.","Cal Coast Jewelry Appraisers | Cal Coast Jewelry | Cal Coast Jewelry Appraisers Inc.","[""760-504-6343""]","[""https://www.facebook.com/CalCoastJewelryAppraisers/"",""https://www.instagram.com/gemologistgirl/""]","Cal Coast Jewelry Appraisers
3001 Carlsbad Boulevard Suite 12
Carlsbad, CA 92008
(Located on second floor)"
"floraottimer.com","Flora Ottimer","Flora Ottimer LLC.","Flora Ottimer | Flora Ottimer LLC. | Flora Ottimer Children's Boutique | Pandawear Corp.","[""(954)463-2292""]","[""http://facebook.com/floraottimer"",""http://instagram.com/floraottimer""]",""
"infinitiofsouthatlanta.com","INFINITI of SOUTH","","INFINITI of SOUTH | INFINITI of SOUTH ATLANTA","[]","[]",""
"johnsoncreekrvresort.com","Johnson Creek RV Resort","","Johnson Creek RV Resort | Johnson Creek RV Resort & Park","[""30-367-3300"",""830-367-33"",""(830) 367-3300""]","[""https://www.facebook.com/150645708340256"",""https://www.facebook.com/johnsoncreekrvresortpark/""]","4279 Junction HighwayIngram, TX 78025"
"liketelevision.com","LikeTelevision","LikeTelevision™ Inc.","LikeTelevision | LikeTelevision™ Inc. | LikeTelevisionTM Inc. | 1999-2012 LikeTelevision™ Inc.","[]","[]",""
"talkingparents.com","Talking Parents","TalkingParents Helps Co.","Talking Parents | TalkingParents Helps Co.","[]","[""https://www.facebook.com/TalkingParents/"",""https://twitter.com/Talkingparents"",""https://www.instagram.com/talkingparentsapp/""]",""
"allcleanhomes.com","All Clean Homes","","All Clean Homes","[]","[]",""
"ericamhill.com","Erica Hill","","Erica Hill","[]","[]","2 Woodward Ave, Detroit, MI 48226"
"hypnosishealthworks.com","Nancy Epstein Hypnosis HealthWorks","Joy Beland LA IT GIRL LLC.","Nancy Epstein Hypnosis HealthWorks | Hypnosis HealthWorks | Joy Beland LA IT GIRL LLC.","[""(310) 404-1256""]","[]",""
"rewildyourgarden.com","Wild Native Gardens","","Wild Native Gardens | ReWILD Your Garden","[""207-653-9334""]","[""https://www.facebook.com/kdbgardenrewilder/"",""https://instagram.com/rewildyourgarden"",""http://www.facebook.com/kdbstudioalchemy""]",""
"shakeprosolutions.com","SHAKE PRO SOLUTIONS LLC.","SHAKE PRO SOLUTIONS LLC.","SHAKE PRO SOLUTIONS LLC. | Shake PRO Solutions","[]","[""https://www.facebook.com/ShakeProSolutions/"",""http://instagram.com/shakeprosolutions"",""https://twitter.com/shakepros""]",""
"themarketinggroupaz.com","Themarketinggroupaz","","Themarketinggroupaz | The Marketing Group","[]","[]",""
"virustarllc.com","ViruStar LLC.","ViruStar LLC.","ViruStar LLC. | VirusStar LLC.","[]","[]",""
"continentalfresh.com","Continental Fresh","","Continental Fresh","[""(305) 860 9611"",""305-860-9611""]","[""https://www.linkedin.com/company/continental-fresh-llc/"",""https://www.facebook.com/continentalfresh""]",""
"marblepolishingmiami.net","Marble Polishing Miami","","Marble Polishing Miami | Marble Floor Polishing Miami","[""(305) 731-2242"",""05-731-2242"",""305-731-2242"",""305-731-22""]","[]",""
"tornadobaseball.com","Tornado Baseball Tarining","","Tornado Baseball Tarining | Tornado Baseball","[]","[]","Sports Alley
2549 Merrick Road
Bellmore, NY 11710"
"hdnavalue.com","Hollingshead Dearden Associates","Dearden & Associates LLC.","Hollingshead Dearden & Associates LLC. | Hollingshead Dearden Associates | Todd Hollingshead ASA. | Hollingshead Dearden | Dearden & Associates LLC.","[]","[""https://www.facebook.com/pages/Hollingshead-Dearden-Associates/848956838453944"",""https://www.linkedin.com/company/hollingshead-dearden-&-associates""]",""
