"domain","data"
"itpc-usa.com","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.facebook.com/wix"",""https://instagram.com/wix"",""https://www.twitter.com/wix""]}"
"gsbphoto.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"fuecid.shop","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"janellesrestaurant.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"pinehavenresort.com","{""phoneNumbers"":[""218-682-2547""],""socialMediaLinks"":[""https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FPine-Haven-Resort-on-Blackwater-Lake-130381357029056%2Freviews%2F"",""https://www.facebook.com/Pine-Haven-Resort-on-Blackwater-Lake-130381357029056/""]}"
"graciejoplin.com","{""phoneNumbers"":[""(417) 850-6447"",""(417) 621-5639""],""socialMediaLinks"":[""https://www.facebook.com/graciejoplin"",""https://www.facebook.com/profile.php?id=1636452124"",""https://www.facebook.com/jason.rios.16547008"",""https://www.facebook.com/shiloh.burchfield"",""https://www.facebook.com/rob.gaul.3"",""https://www.facebook.com/profile.php?id=100003634880192"",""https://www.facebook.com/zach.lawson.54"",""https://www.facebook.com/Ghettotacos417"",""https://www.facebook.com/profile.php?id=100089055761441""],""address"":""Address:\n210 N Washington St Neosho, MO 64850\nEmail: shiloh@graciejoplin.com\nPhone: (417) 621-5639 \n\n""}"
"warnby.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"antiochassistedliving.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"astepabovemb.com","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.facebook.com/A-Step-Above-Flooring-810287332403927/"",""https://twitter.com/AStepAboveMB"",""https://instagram.com/astepaboveflooring/""]}"
"cavachonsofoklahoma.com","{""phoneNumbers"":[""405-938-6708""],""socialMediaLinks"":[""https://facebook.com/OklahomaCavachons/"",""https://instagram.com/cavachons_of_oklahoma"",""https://www.facebook.com/OklahomaCavachons"",""https://www.instagram.com/cavachons_of_oklahoma/"",""https://www.facebook.com/OklahomaCavachons/""]}"
"directdrivelogistics.com","{""phoneNumbers"":[],""socialMediaLinks"":[],""address"":""11122 W Rogers St, Milwaukee, WI 53227""}"
"garrettwietholter.com","{""phoneNumbers"":[""(317) 873-3230"",""61709-0001"",""309-622-50"",""9588590""],""socialMediaLinks"":[""https://www.facebook.com/153341281385570"",""https://www.linkedin.com/in/garrett-wietholter-b5037a88"",""http//www.facebook.com/pages/Garrett-Wietholter-State-Farm-Agent/153341281385570"",""https//www.linkedin.com/pub/garrett-wietholter/88/37a/b50""],""address"":""\n                                        Pet insurance products are underwritten in the United States by American Pet Insurance Company and ZPIC Insurance Company, 6100-4th Ave. S, Seattle, WA 98108. Administered by Trupanion Managers USA, Inc. (CA license No. 0G22803, NPN 9588590). Terms and conditions apply, see full policy on Trupanion's website for details. State Farm Mutual Automobile Insurance Company, its subsidiaries and affiliates, neither offer nor are financially responsible for pet insurance products. State Farm is a separate entity and is not affiliated with Trupanion or American Pet Insurance.\n                                    ""}"
"uomosport.com","{""phoneNumbers"":[""310-205-0407""],""socialMediaLinks"":[""https://www.facebook.com/UOMOSPORT2016/"",""http://twitter.com/uomo_sport"",""http://instagram.com/uomo_sport"",""https://www.linkedin.com/company/uomo-sport""]}"
"kickitupquilting.com","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.instagram.com/kickitupquilting/"",""https://www.facebook.com/KickItUpQuilting/""]}"
"koimountain.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"davidprieto.realestate","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"annarborhomesrealtor.com","{""phoneNumbers"":[""313-717-77"",""734-669-58""],""socialMediaLinks"":[""https://www.facebook.com/maurarains1"",""http://www.linkedin.com/pub/maura-rains/5/79b/77a""],""address"":""\n2452 E. Stadium BlvdAnn Arbor, MI 48105\n""}"
"pinolevistareimagined.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"seamuspuppy.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"yingtexun.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"proexecstaffing.com","{""phoneNumbers"":[""713-248-2245""],""socialMediaLinks"":[""https://www.facebook.com/proexecstaffing"",""https://twitter.com/exec_pro"",""https://linkedin.com/company/pro-exec-staffing""]}"
"aop3d.com","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.facebook.com/AOPthreeD"",""https://www.instagram.com/aop3d/""]}"
"truyasushica.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"forcht-law.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"rrrobotictec.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"off-trail.co","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.instagram.com/offtrail.co/""]}"
"stewartgrain.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"thebeautyteam.com","{""phoneNumbers"":[""908-917-5233""],""socialMediaLinks"":[""https://www.facebook.com/"",""https://twitter.com/"",""https://www.instagram.com/"",""https://www.linkedin.com/"",""https://www.facebook.com/The-Beauty-Team-NJ-1524388267839855"",""https://www.instagram.com/thebeautyteamnj/?hl=en"",""https://www.linkedin.com/in/daniela-brozkova-3b084b9/""]}"
"gygeneralservices.business.site","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"stitchncluck.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"cleaningsvccolumbiafalls.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"peacefulwolftaichi.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"ascend-tech.us","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.linkedin.com/company/ascendant-software-technology-llc/"",""https://twitter.com/AscendSoftTech""]}"
"fortlaudedalepsychic.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"buryservices.com","{""phoneNumbers"":[],""socialMediaLinks"":[],""address"":""4358 W Vickery Blvd, Fort Worth, TX 76107""}"
"onsa.net","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"justgooglebenhiggins.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"camilluscusecamp.com","{""phoneNumbers"":[""(315) 552-0182"",""(315) 791-4511""],""socialMediaLinks"":[""https://www.facebook.com/CamillusCuseCamp/"",""https://www.instagram.com/camilluscusecamp/"",""https://www.instagram.com/cusecamp/""],""address"":""4713 Onondaga Blvd. Syracuse, NY 13219""}"
"miltongeorgialiving.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"hyhp.org","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.facebook.com/hawaiiyhp"",""https://www.linkedin.com/company/30611146/admin/"",""http://www.instagram.com/hawaiiyhp""]}"
"crawfordproduction.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"ghostmountain.org","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.instagram.com/ghostmountainpdx/""]}"
"fanbladedesigns.com","{""phoneNumbers"":[],""socialMediaLinks"":[""https://twitter.com/FanBladeDesigns"",""https://twitter.com/fanbladedesigns"",""https://www.facebook.com/pages/Fan-Blade-Designs/1414707588783035"",""https://instagram.com/fanbladedesigns""]}"
"lisinoprilfst.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"jrmatheny.com","{""phoneNumbers"":[],""socialMediaLinks"":[""http://instagram.com/jrmatheny"",""https://twitter.com/jason_r_matheny""]}"
"madebyjosy.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"stpunited.org","{""phoneNumbers"":[""(816) 331-6444""],""socialMediaLinks"":[""https://www.instagram.com/explore/locations/999088086/st-pauls-united-methodist-church/"",""https://www.facebook.com/stpunited/"",""https://twitter.com/moreinraymore""]}"
"nbwatergardens.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"timemusicgroupnyc.com","{""phoneNumbers"":[""221-15 111"",""-646-372-03""],""socialMediaLinks"":[]}"
"woodgateapts.net","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"2701jamesmwood.com","{""phoneNumbers"":[""213-247-4"",""213-247-4210"",""2021 2701""],""socialMediaLinks"":[],""address"":""2701 James M Wood BLVD Los Angeles, CA 90006""}"
"longrealty.com","{""phoneNumbers"":[""800-354-5664"",""(800) 354-5664"",""-5-910-991"",""-5-910-992"",""-5-910-993"",""-5-910-994""],""socialMediaLinks"":[""https://www.facebook.com/longrealty/"",""https://www.instagram.com/longrealty/"",""https://www.linkedin.com/company/long-realty-company/"",""https://twitter.com/LongRealty"",""https://www.facebook.com/longrealty"",""https://twitter.com/@longrealty"",""https://www.linkedin.com/company/long-realty-company/about/""]}"
"behindthewhitebeard.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"smensclub.org","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.facebook.com/smensclub""]}"
"floraottimer.com","{""phoneNumbers"":[""(954)463-2292""],""socialMediaLinks"":[""http://facebook.com/floraottimer"",""http://instagram.com/floraottimer""]}"
"lequedagua.com","{""phoneNumbers"":[""212 317 0"",""2870-350""],""socialMediaLinks"":[""https://www.instagram.com/lequedagua/"",""https://www.facebook.com/lequedagua.lda/""]}"
"calcoastjewelryappraisers.com","{""phoneNumbers"":[""760-504-6343""],""socialMediaLinks"":[""https://www.facebook.com/CalCoastJewelryAppraisers/"",""https://www.instagram.com/gemologistgirl/""],""address"":""Cal Coast Jewelry Appraisers\n3001 Carlsbad Boulevard Suite 12\nCarlsbad, CA 92008\n(Located on second floor)""}"
"liketelevision.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"infinitiofsouthatlanta.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"semillacenter.org","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.facebook.com/SemillaCenter/"",""https://twitter.com/semillacenter"",""https://www.instagram.com/semillacenter/"",""https://twitter.com/semillacenter/""]}"
"ericamhill.com","{""phoneNumbers"":[],""socialMediaLinks"":[],""address"":""2 Woodward Ave, Detroit, MI 48226""}"
"thethriftyhijabi.com","{""phoneNumbers"":[""2017-2018""],""socialMediaLinks"":[]}"
"talkingparents.com","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.facebook.com/TalkingParents/"",""https://twitter.com/Talkingparents"",""https://www.instagram.com/talkingparentsapp/""]}"
"hypnosishealthworks.com","{""phoneNumbers"":[""(310) 404-1256""],""socialMediaLinks"":[]}"
"allcleanhomes.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"themarketinggroupaz.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"shakeprosolutions.com","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.facebook.com/ShakeProSolutions/"",""http://instagram.com/shakeprosolutions"",""https://twitter.com/shakepros""]}"
"hdnavalue.com","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.facebook.com/pages/Hollingshead-Dearden-Associates/848956838453944"",""https://www.linkedin.com/company/hollingshead-dearden-&-associates""]}"
"rewildyourgarden.com","{""phoneNumbers"":[""207-653-9334""],""socialMediaLinks"":[""https://www.facebook.com/kdbgardenrewilder/"",""https://instagram.com/rewildyourgarden"",""http://www.facebook.com/kdbstudioalchemy""]}"
"virustarllc.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"continentalfresh.com","{""phoneNumbers"":[""(305) 860 9611"",""305-860-9611""],""socialMediaLinks"":[""https://www.linkedin.com/company/continental-fresh-llc/"",""https://www.facebook.com/continentalfresh""]}"
"johnsoncreekrvresort.com","{""phoneNumbers"":[""30-367-3300"",""830-367-33"",""(830) 367-3300""],""socialMediaLinks"":[""https://www.facebook.com/150645708340256"",""https://www.facebook.com/johnsoncreekrvresortpark/""],""address"":""4279 Junction HighwayIngram, TX 78025""}"
"haqelyaqeen.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"charliesproshop.com","{""phoneNumbers"":[""727-397-3947"",""(727) 397-3947""],""socialMediaLinks"":[],""address"":""11401 Starkey Road\n          Largo, FL 33773""}"
"theneumannproject.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"tornadobaseball.com","{""phoneNumbers"":[],""socialMediaLinks"":[],""address"":""Sports Alley\n2549 Merrick Road\nBellmore, NY 11710""}"
"vibrantlifefarms.com","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.facebook.com/vibrantlifefarms"",""https://instagram.com/wix/""]}"
"rgaineswebdevelopment.com","{""phoneNumbers"":[""(816) 974-7493""],""socialMediaLinks"":[""https://www.facebook.com/RGainesWebDevelopment/"",""https://twitter.com/rgaineswebdev""]}"
"marblepolishingmiami.net","{""phoneNumbers"":[""(305) 731-2242"",""05-731-2242"",""305-731-2242"",""305-731-22""],""socialMediaLinks"":[]}"
"mutterpasshuellen.eu","{""phoneNumbers"":[],""socialMediaLinks"":[],""address"":""Address:Street Name, FL 54785""}"
"sunnova-solar-oakland.business.site","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"vipsmarthomes.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"mojoparker.com","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.facebook.com/mojoparker"",""https://instagram.com/mojoparkerblues"",""https://www.facebook.com/Mojoparker/""]}"
"spynewsletter.com","{""phoneNumbers"":[""1-775-964"",""+1-775-964-8641""],""socialMediaLinks"":[]}"
"jsdagency.com","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.instagram.com/jsd.agency/?hl=en"",""https://www.linkedin.com/company/jsdagency""],""address"":""Edif. Centro de Seguros 701 Ave. Ponce de León Ste. 203 San Juan, PR 00907""}"
"tevisdenise.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"greggardnersbarbershop.com","{""phoneNumbers"":[""(814) 267-3226""],""socialMediaLinks"":[],""address"":""511 Mulberry St, Berlin, PA 15530, USA""}"
"bettoli.realtor","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"saracott.com","{""phoneNumbers"":[""404-850-12""],""socialMediaLinks"":[]}"
"dumpsterrentalalhambraca.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"badgertoyotalift.com","{""phoneNumbers"":[""(262) 782 0220"",""(800) 242 0541"",""(262) 782 4703""],""socialMediaLinks"":[],""address"":""ADDRESS: 2473 South Commerce Drive New Berlin, WI 53151 TELEPHONE: (262) 782 0220 or (800) 242 0541  FAX: (262) 782 4703""}"
"hautesalonjc.com","{""phoneNumbers"":[""573-634-7476""],""socialMediaLinks"":[""https://www.facebook.com/hautesalon"",""https://www.instagram.com/hautesalonjc/""]}"
"ropescan.us","{""phoneNumbers"":[""(701) 478-6666""],""socialMediaLinks"":[]}"
"bundlesbybassett.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"roushdetailingllc.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"lineoftecnologia.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"hubbardstudios.com","{""phoneNumbers"":[],""socialMediaLinks"":[""https://www.instagram.com/hubbardsteve/"",""https://www.facebook.com/HubbardStevePhoto"",""https://twitter.com/thehubbardsteve""]}"
"hairbykole.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"arisepca.com","{""phoneNumbers"":[""(442) 273-0252""],""socialMediaLinks"":[""http://www.facebook.com/ArisePCA"",""https://www.instagram.com/arisepresbyterian/""],""address"":""11:15am Sunday ServiceThe All Saints Church building  631 Eucalyptus AveVista, CA 92084""}"
"cgllcairheatingandcoolingservices.business.site","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"thatpaintgirl.com","{""phoneNumbers"":[],""socialMediaLinks"":[""http://instagram.com/thatpaintgrl""]}"
"mikesagfencerepair.com","{""phoneNumbers"":[""(240) 285-6648""],""socialMediaLinks"":[]}"
"salinasidingcompany.com","{""phoneNumbers"":[""(785) 390-8822"",""785) 390-8822""],""socialMediaLinks"":[""https://www.facebook.com/people/Topeka-Siding-Company/100080380455803/"",""https://www.linkedin.com/company/topeka-siding-company""]}"
"1vandegraaff.com","{""phoneNumbers"":[],""socialMediaLinks"":[],""address"":""1 Van de Graaff Drive Burlington, MA 01803""}"
"clinejewelers.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
"thelocalmanjakemangan.com","{""phoneNumbers"":[""(516) 361-9474""],""socialMediaLinks"":[""https://www.linkedin.com/in/localmanjakemangan/""]}"
"betterbuildco.com","{""phoneNumbers"":[],""socialMediaLinks"":[]}"
